fen	depth	best	total_nodes	root_nodes	best_nodes	share_pct
r1b2rk1/ppp2ppp/1q2p3/4n3/1P1P1Q2/P3P3/5PPP/R1B1K2R w KQ - 0 16	12	f4e5	105956	105933	49788	47
2rrk3/1p3R1p/2qp3Q/1BnP1P2/p2Bp3/P7/1PP4P/2R3K1 b - - 0 31	12	e8f7	1435220	1435196	1018989	71
r4rk1/1p1q3p/2n3pQ/p1Pb4/P3N3/2B1PPP1/6BP/3R3K b - - 10 33	12	f8f7	169654	169625	35621	21
rn1qk2r/pp2ppbp/8/2pp1p2/3P4/1P2PQ1P/P1P2PP1/RN2KB1R w KQkq c6 0 9	12	f1e2	209866	209850	62955	30
3r1rk1/5q2/p4ppb/1pp5/1P6/Pn1P1N1P/2Q2PB1/R3R1K1 w - - 1 26	12	a1b1	168233	168208	67283	40
3r1rk1/pp2bppp/2q5/2p1P1n1/2N5/2P2Q1P/PP4P1/R1B1R1K1 w - - 2 17	12	f3c6	110798	110780	72007	65
5rk1/1bqr1pb1/2pp2pp/8/2Q1Pp1P/P1NR2B1/2P3P1/3R2K1 w - - 0 30	12	g3f4	104303	104287	76129	73
1r2n1kr/1pNq1ppp/p3n3/P7/2BPp3/1Q2P3/1P1B2PP/3R1RK1 b - - 0 21	12	e8c7	128143	128126	108907	85
1r1qr2b/1p2kp1Q/p2p3p/P1P1n2N/1P6/2B3R1/6B1/3R2K1 b - - 0 38	12	d8d7	798957	798919	351524	44
1r4k1/p1pqbpp1/5n2/3P1b1p/1n6/2N3P1/RP3PBP/2BQ1RK1 w - - 0 19	12	a2a5	338413	338391	135356	40
r1b2q1k/pp6/3bp1Q1/3p1r2/1n1P4/2N1PN2/PP3PPP/1K1R3R w - - 5 20	12	f3g5	187552	187530	35630	19
r2q1rk1/pp2bp1p/4bp2/8/1n1P4/1Q2P1N1/PP1B2PP/R3KB1R w KQ - 0 14	12	b3d1	178120	178098	124668	70
r1bq1rk1/ppp2p1p/2n1p3/3p2p1/2PPn3/PQ1BPN2/1P3PPP/R1B1K2R b KQ - 1 10	12	g5g4	320275	320259	128103	40
r1b1r1k1/1pq4p/p1np1np1/2p1P3/P1P1P1P1/4B2P/1PQ1N1B1/1K1R3R b - - 0 21	12	e8e5	156529	156511	101732	65
2r2rk1/pp4bp/nqppb3/5p2/2PP2p1/2NBP3/PP1B2PP/R2Q1RK1 w - - 6 18	12	g1h1	618662	618644	253644	41
1r1q2kr/ppn2ppp/3bNn2/3p4/3Pp3/1QN1PP2/PP1BB1PP/3R1RK1 b - - 0 15	12	c7e6	117815	117797	83635	71
r1br2k1/1p3pbp/1q3np1/p1ppN3/P2N1B2/3P2P1/1PP2PBP/R2QR1K1 b - - 0 14	12	c5d4	245870	245855	223728	91
2rqr1k1/2pb2pp/p7/npbnPp2/3P4/5N2/PPQ2PBP/R1B2RK1 w - - 0 19	12	c2c5	129710	129689	72625	56
r2q1rk1/pp3pbp/2np2p1/2pnp3/2P1P1b1/1P1P1NP1/PB3PBP/R2QK2R w KQ - 0 11	12	c4d5	98772	98757	41477	42
r1bqk2r/pp2bppp/n4n2/3p4/3Pp3/1QN1P3/PP1BNPPP/R3KB1R w KQkq - 2 9	12	a2a3	269138	269114	75351	28
r3kb1r/pp3ppp/2n2nb1/2q5/8/1Q2PNN1/PP1B2PP/2R1KB1R b Kkq - 2 13	12	c5b6	149490	149466	95658	64
r2qk2r/pp1nbppn/2p1p2p/3pP3/3P2b1/5NP1/PPPN1PBP/R1BQR1K1 w kq - 1 10	12	d2b3	478917	478894	215502	45
r3r1k1/3n1ppp/pqbb1n2/4p3/2P1P3/1P3N2/1BB1Q1PP/1N1R1R1K b - - 2 23	12	d6c5	201393	201374	82563	41
8/8/8/3K1p1p/5k2/4p3/8/8 b - - 1 58	12	e3e2	37881	37858	37479	99
8/8/7k/5p2/8/5K2/8/8 b - - 1 81	12	h6g5	16207	16188	7608	47
8/6pp/8/7k/5p2/5K2/6P1/8 b - - 1 47	12	g7g5	17342	17323	12992	75
8/8/8/5k2/7p/4K3/8/8 b - - 9 78	12	f5e5	22599	22576	4063	18
8/8/1PK5/5k2/8/3N4/8/8 b - - 0 76	12	f5e4	58672	58636	51013	87
8/k7/PP6/8/8/3pp3/4n3/4K3 b - - 0 54	12	a7b6	10508	10479	5449	52
8/1k6/pPn5/2K5/8/8/8/8 b - - 5 93	12	c6b8	10626	10604	7316	69
8/3K4/8/2P5/8/2k5/4b3/8 w - - 5 160	12	c5c6	16845	16822	15980	95
B7/2K4p/8/5p2/1P3k2/4p3/2n5/8 b - - 0 55	12	e3e2	79609	79580	77988	98
8/8/8/4k3/8/6K1/8/5r2 b - - 10 87	12	e5e4	33915	33901	18984	56
8/7p/4k2P/4np2/3K1B2/8/8/8 b - - 11 64	12	e5f3	38582	38568	9256	24
8/8/8/2n5/8/3Bk1K1/8/8 b - - 9 72	12	c5b3	14908	14894	9383	63
8/B7/8/1p6/1k3R1p/4P2K/6PP/8 b - - 1 59	12	b4b3	42742	42719	7689	18
8/6N1/5k2/3K4/8/8/8/4r3 w - - 29 95	12	g7h5	39013	38997	35487	91
8/5p2/1B2p3/8/8/2K2k2/5rp1/8 w - - 2 69	12	b6f2	41511	41486	33188	80
8/8/2p2p2/2P1pP2/2b1P1k1/4K3/p7/7R w - - 45 137	12	h1d1	36045	36031	19096	53
8/2p3k1/p7/1p2N3/4p3/P5n1/1P3K2/3R4 b - - 1 51	12	g3f5	41851	41833	23844	57
3R4/6k1/8/5p1p/3K2p1/4P1Pr/8/8 b - - 10 69	12	h3g3	67106	67091	61052	91
8/1ppk1p2/7p/P2P2p1/2PKR1P1/8/7P/r7 w - - 4 43	12	e4e5	94184	94167	60266	64
8/1N2k1p1/4p2p/3pP2P/b2P2P1/3N4/3b1K2/8 w - - 4 54	12	f2e2	31123	31108	15554	50
4r3/5pp1/p5kp/PpB5/8/1P2P3/6PP/3R2K1 b - - 3 37	12	e8e6	117908	117893	33010	28
8/6p1/5k2/4p3/2q5/5B2/4K3/8 w - - 2 84	12	e2e3	136467	136445	19102	14
5R2/8/8/4k3/4pp2/1K6/P4r2/3n4 b - - 9 46	12	f2b2	99588	99570	32858	33
4R3/8/5K2/3k4/4p3/4B2r/5P2/8 b - - 15 111	12	h3f3	71948	71926	49628	69
3R4/pp3pkp/8/8/8/2K4P/P4Pq1/8 w - - 2 29	12	d8d3	333764	333749	140174	42
6k1/5p2/3p2pp/4b3/4P1PP/4RK2/6N1/7r w - - 4 41	12	f3e2	112312	112299	67379	60
8/5b2/2p2p2/2P1pP2/4P3/1rKB2k1/p7/4R3 w - - 36 98	12	c3d2	26244	26227	19932	76
8/8/8/8/3q4/1R6/1K1k4/8 w - - 74 98	12	b2b1	67266	67249	43039	64
6k1/p4ppp/bpr1p3/8/2n5/4B1P1/P3KP1P/R7 w - - 0 25	12	a2a4	299880	299863	83961	28
8/4K1nk/6r1/5p1p/3Q4/4PP2/8/8 b - - 0 64	12	g6c6	87574	87554	39399	45
2k3r1/2N5/2n5/pp3p2/4pp2/B1P5/PP2KP1p/7R b - - 1 33	12	c8c7	74439	74423	29769	40
8/3r1N2/8/5R2/3b4/5nk1/K7/8 w - - 17 70	12	f7h6	229409	229393	68817	30
8/1p3p1k/5p2/p1P5/8/6PK/PP2q3/R6R w - - 0 33	12	b2b3	191724	191703	40257	21
8/Q7/8/1p6/k1p5/6P1/3q1PK1/8 b - - 22 101	12	a4b3	159867	159840	155044	97
3B4/pb4kp/4B1p1/8/1P6/P1n1R3/5rPP/6K1 b - - 0 54	12	f2g2	95364	95341	56251	59
6k1/1p1n1p2/1p1B4/2pP4/2P2R1P/N2b4/5K2/3r4 w - - 12 33	12	f4g4	232624	232605	37216	16
4Q2r/5ppk/p6p/Pp6/1B6/1P2P3/6PP/5RK1 b - - 0 35	12	h8e8	76132	76115	71548	94
5r1k/4RB2/6p1/p6p/6r1/1P6/2PR3K/8 b - - 5 36	12	g6g5	104886	104872	40900	39
r5k1/3P3p/p3p1P1/5p2/5P2/BP1N4/P2r2b1/2R3K1 b - - 6 36	12	g2b7	293892	293867	167504	57
5k2/1p6/2n2B2/p1P5/P5Q1/1b2PP2/5K1P/3r4 b - - 2 46	12	d1d2	247424	247406	66799	27
3rR1kr/3P1pp1/p6p/Pp6/1n6/1P2P3/6PP/4BRK1 b - - 2 33	12	g8h7	58864	58848	58259	99
2qR4/2P2kp1/4p3/4b1p1/8/7P/p1R3B1/7K w - - 2 50	12	c2f2	47213	47183	19345	41
4rrk1/pp6/3RP2p/2p1n3/5p2/2P5/P3NPPP/2K4R b - - 0 21	12	e5c4	44775	44756	21482	48
8/1p3pkp/3B1b2/6p1/p5P1/2Pr3P/PP2rP2/1RR3K1 w - - 1 29	12	d6a3	97328	97313	54495	56
3r4/2R5/5p2/4p1k1/4P3/1p4NK/1P3P2/1q4r1 w - - 0 57	12	f2f4	729305	729269	576122	79
3k4/1p5R/1pp5/3n4/2NP1r2/P1br3K/2R4P/8 w - - 17 52	12	h3g2	140081	140053	120445	86
2r2rk1/1p1R1ppp/8/pB6/8/1PB4P/2P2nP1/5RK1 b - - 0 25	12	f2h3	89954	89938	45868	51
1r5k/p2p3p/bpBN1r2/5p2/2P3p1/8/PP3PPP/1K1RR3 b - - 0 22	12	d7c6	98033	98013	70569	72
3r4/6k1/2R2p2/4p1p1/4P3/1p2B1N1/1P3PK1/1q1r4 w - - 0 54	12	c6c7	499635	499608	69945	14
r3r1k1/pR5p/2p5/7p/5P1b/2N4P/P1K1n1B1/7R w - - 0 29	12	g2e4	267660	267639	112408	42
r3k2r/4npp1/1P3n2/p1Bp4/4pP2/2P3P1/P3B3/3RR1K1 b - - 0 29	12	a8b8	200573	200555	138382	69
3r1r1k/1p2bp2/p1bppp1p/5P1P/P3P3/2NBR3/1PP3P1/1K1R4 w - - 1 21	12	f5e6	199046	199029	29854	15
4kNn1/1Np3r1/p1r5/1pBRp1bp/4p1P1/P5P1/1P6/3R2K1 b - - 1 38	12	g5f6	313087	313066	28175	9
4kb1r/1p3ppp/p3p3/8/P1K1b3/2N5/1P4PP/R1Br1B1R b k - 1 17	12	e4d3	95091	95074	56093	59
1q6/p2r1pk1/2R1p1pp/8/6PP/2Q2B2/5PK1/8 b - - 4 39	12	e6e5	122610	122581	112774	92
r1b1k2r/1pp1N1pp/p1p1np2/4P3/8/8/PPP2PPP/RNBR2K1 b kq - 0 13	12	e8e7	61440	61418	49134	80
7k/4q1r1/3Qp2N/8/3RB2p/1P5P/5PP1/6K1 b - - 0 48	12	e7d6	42005	41983	30647	73
6k1/1p4p1/p1p1p1p1/4P3/P6q/6r1/R5K1/Q5R1 w - - 0 44	12	g2f2	1079276	1079252	1068459	99
8/4rkp1/1p2p3/p2bPp1p/P2P1P2/2R1B3/2Q3PK/4q3 w - - 6 51	12	c2d2	87099	87082	58344	67
7q/5b1k/p2p4/P1pP1PQ1/2P3n1/7P/7K/R5R1 w - - 5 43	12	g5g4	63858	63834	48513	76
r4rk1/p1pq1pb1/1p4p1/4p2p/4P3/2NPB1P1/PP3P1P/3R1RK1 w - - 0 20	12	g1g2	324548	324532	87623	27
2b1r1k1/5p2/3B3p/2RB1qp1/p7/P5QP/6PK/8 b - - 1 36	12	f5f6	234434	234409	86731	37
3r2k1/1Q3ppp/4p3/3rP3/5P2/4P3/2q3PP/2B2RK1 w - - 4 29	12	b7b2	91374	91345	41105	45
7k/p1p3b1/1p4np/8/1P2Q3/P3NR2/3r1P2/q4K2 w - - 3 36	12	f1g2	209443	209414	207319	99
r4k1r/1p2pp1p/p7/q2p1p2/8/1P1BQ2P/P2N1PP1/R5K1 b - - 2 17	12	a5c3	219691	219667	50523	23
5rk1/Q2q4/R1b1pp1p/1p1p2pB/2pP4/2P1PP1P/1P1n2PB/6K1 b - - 3 26	12	d7a7	87212	87194	40109	46
5rk1/pp2bpp1/2q2n1p/2p2P2/P1B5/1Q3P2/1PP2B1P/1K1R4 b - - 0 22	12	e7d6	140265	140251	44880	32
8/2p2k2/1r3nR1/p2pRB1p/3P1q2/5P2/1PQ3K1/8 b - - 3 42	12	c7c5	360949	360928	93841	26
1r1R1rk1/pb3p1p/1p3b2/4n1p1/8/1Q2B1P1/PP3PBP/5RK1 b - - 0 20	12	f8d8	65795	65775	42096	64
2r3k1/1pq4p/p3pp1P/3bb1p1/6Q1/P3B3/1PPR2P1/1K3R2 w - - 1 37	12	e3g5	209289	209261	113000	54
2r1r1k1/5p1n/p2p4/3P2pp/q1pBP3/P4BPP/1P2RP1K/2Q5 b - - 1 29	12	a4b3	503223	503202	65416	13
4r3/6pk/r6p/2p5/p1R1P3/4q2P/2Q3B1/1R5K b - - 4 39	12	a4a3	153348	153326	84329	55
3r2k1/pp3pbp/6q1/8/2r5/2N1Q2P/P1K2PP1/R2R4 w - - 2 23	12	c2b2	131478	131454	35492	27
3r2k1/1pr2p2/pQ1b1q2/3Rp3/P2pP3/3P1BP1/1P4K1/4R3 b - - 0 39	12	f6e7	192952	192932	77172	40
1r2r1k1/5pp1/5n1p/2p5/Qp1NP3/1P1qBPP1/5K1P/4RB2 b - - 1 38	12	d3c3	98492	98467	27570	28
4r1k1/6p1/r6p/q1p1n3/p1P1P3/Q5PP/6B1/1R1R2K1 b - - 1 34	12	a6f6	290033	290011	78302	27
r2q1k1r/1p2ppbp/p7/3p1p2/3P4/1P1B1Q1P/P4PP1/RN3RK1 b - - 0 14	12	g7d4	106009	105992	69954	66
3rr1k1/1p3pb1/q3p1p1/2R1P1P1/p1bP1B2/P1Q5/5P2/1R4K1 w - - 0 44	12	c3c4	192296	192280	140364	73
1r4r1/p1pq1k1p/2n1R3/2P2p1P/3p1P2/P4R2/2Q2BP1/2K2B2 b - - 0 29	12	f7e6	134725	134700	84861	63
r5k1/1p1q1r1p/2n3pQ/p1Pb4/P3N3/2B1PPPB/7P/3R3K b - - 12 34	12	d7d8	80599	80580	41901	52
rn1qk2r/pp2ppbp/8/3p1Q2/3p4/1P2P2P/P1P2PP1/RN2KB1R w KQkq - 0 10	12	f1b5	151661	151643	47009	31
3r1rk1/5q2/p4ppb/1p6/1Pp5/Pn1P1N1P/2Q2PB1/1R2R1K1 w - - 0 27	12	d3c4	191940	191918	99797	52
2kr3r/ppq2pQp/2nB1P2/8/2p5/2Pp1B1P/PP4P1/RN3R1K b - - 0 17	12	c7d6	189827	189807	170826	90
5rk1/1b1r1pb1/1qpp2pp/8/2Q1PB1P/P1NR4/2P3P1/3R2K1 w - - 1 31	12	f4e3	122855	122837	87214	71
r1bb1rk1/pp3p1p/4pp2/1BPp4/3N4/4Pn2/Pq3PPP/R2Q1RK1 w - - 0 15	12	d1f3	82723	82702	79393	96
1rq1r2b/1p2kp1Q/p2P3p/P3n2N/1P6/2B3R1/6B1/3R2K1 b - - 0 39	12	e7d8	94103	94074	70555	75
1r4k1/R1pqbpp1/5n2/3P3p/1n6/2Nb2P1/1P3PBP/2BQ1RK1 w - - 1 20	12	c1f4	196178	196151	84344	43
