# S097 verdict 2 candidates for the mate row that separates
# E21_multicut_mate_band_gate_dropped.
# Regenerate: adocs/data/S097_mine_mate_row.py candidates /
# fires / sweep / pick.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	depths_found
5r2/1p4Nk/pqp2P2/3p4/1Pn3Q1/2P1p3/P3P3/2K2R2 w - - 3 40	3	5256	g7e6 b6c7 f1h1 c7h2 h1h2	Ne6 Qc7 Rh1+ Qh2 Rxh2#	
5rk1/5p1p/3p2p1/1P2b3/6q1/1P4N1/r5PP/2KRQ2R b - - 5 27	3	7369	g4c8 e1c3 c8c3 c1b1 a2a1	Qc8+ Qc3 Qxc3+ Kb1 Ra1#	
6k1/1p1b3R/p1n1p2Q/3p3p/3P3P/P1B2rK1/1PB2n2/8 w - - 0 33	3	1933	g3f3 c6d4 c3d4 d7a4 h6g7	Kxf3 Nxd4+ Bxd4 Ba4 Qg7#	
6k1/4Q3/2P2K2/p7/P3p1P1/8/1q6/8 w - - 9 72	3	1380	f6g6 b2f6 e7f6 e4e3 f6g7	Kg6 Qf6+ Qxf6 e3 Qg7#	
6kr/2b1R2p/7p/3p1N2/8/1B4P1/3r1PP1/2R3K1 w - - 1 41	3	3866	c1c7 d2d1 b3d1 g8f8 c7c8	Rcxc7 Rd1+ Bxd1 Kf8 Rc8#	
7k/5r2/p1p5/8/P3Q1R1/5pPK/7P/8 w - - 3 49	3	3144	e4e5 f7f6 e5f6 h8h7 f6h4	Qe5+ Rf6 Qxf6+ Kh7 Qh4#	
8/1R3k1p/5p2/8/8/2P5/PPrr4/6K1 b - - 3 38	3	1351	f7g6 b7g7 g6g7 b2b3 c2c1	Kg6 Rg7+ Kxg7 b3 Rc1#	
8/1p3pk1/p4Qp1/2q5/8/P2p1P1b/1Pr1n1PP/3RRK2 b - - 4 37	3	1640	g7f6 e1e2 d3e2 f1e1 c5g1	Kxf6 Rxe2 dxe2+ Ke1 Qg1#	
8/3R4/2k5/5Q2/K7/8/8/1r5q w - - 16 83	3	3600	f5e6 c6c5 e6d6 c5c4 d6d4	Qe6+ Kc5 Qd6+ Kc4 Qd4#	
8/6kp/p3P1p1/3pP3/7K/3n1qN1/7P/8 b - - 1 43	4	9395	d3f2 g3f5 g6f5 h2h3 f3h3 h4g5 h3g4	Nf2 Nf5+ gxf5 h3 Qxh3+ Kg5 Qg4#	
8/6p1/P1p1pPk1/P2p4/7Q/2P2R2/qr4PK/8 w - - 1 38	3	4214	h4g4 g6f7 g4g7 f7e8 g7e7	Qg4+ Kf7 Qxg7+ Ke8 Qe7#	
8/8/3p2R1/1p4p1/4PkPP/4n3/2r5/6K1 b - - 0 73	3	7368	f4g3 g6d6 c2c1 d6d1 c1d1	Kg3 Rxd6 Rc1+ Rd1 Rxd1#	
8/k1p5/p5p1/n1q5/1R1Q4/7P/5PK1/8 w - - 4 59	3	3289	d4c5 a7a8 c5f8 a8a7 f8b8	Qxc5+ Ka8 Qf8+ Ka7 Qb8#	
Qr4kr/5ppB/3b1n2/8/3P4/4Pp1q/PP3P2/R1B2RK1 b - - 0 23	3	2145	h8h7 a8b8 d6b8 a1b1 h3h1	Rxh7 Qxb8+ Bxb8 Rb1 Qh1#	
k2r4/Pq4p1/4p3/Q1ppP2r/3P3p/1R3b1P/5BP1/1R4K1 w - - 1 37	3	3547	a5d8 b7c8 d8c8 a8a7 c8b7	Qxd8+ Qc8 Qxc8+ Kxa7 Qb7#	
n7/7r/2pP1R1p/3p1B2/5p1k/1p2P2P/6PK/8 w - - 0 50	3	6817	e3f4 h4h5 f5g6 h5h4 g2g3	exf4 Kh5 Bg6+ Kh4 g3#	
r1b1N1kr/1p2Q2p/6pB/p2p1p2/2q5/5N2/PPP2bPP/R3R1K1 w - - 0 21	3	7584	g1h1 c4f1 e1f1 a5a4 e7g7	Kh1 Qf1+ Rxf1 a4 Qg7#	
r2r1n1k/2q2p1N/p3pNpQ/2p1P3/PpR5/7P/1P3Bb1/R6K w - - 0 29	3	3880	h1g1 d8d1 a1d1 c7b7 h7f8	Kg1 Rd1+ Rxd1 Qb7 Nxf8#	
