# S095 candidates for the mate row tests/test_search.cpp "pruning does not
# hide a forced mate" gains: the labelled mates whose oracle line carries a
# quiet, non-checking, non-promotion move of the mating side -- the only class
# late move reduction can touch. 297 labelled mates from this project's own
# positions in, 141 out. Regenerate: adocs/data/S095_mine_mate_row.py
# candidates, then S230_mine_r01_row.py depths on the shipped tree and again
# with the site's guard opened, then S095_mine_mate_row.py pick.
# distance, pv and nodes are stockfish through python-chess, one fresh
# process per position at depth 20; nothing here is copied from it (DEC-016).
fen	mate_in	nodes	pv_uci	pv_san	quiets_on_line
R2Q1bk1/5q2/4bP1p/2p1P3/3pB3/7P/2P3PK/8 w - - 3 50	6	29464	e4g6 e6d7 g6f7 g8f7 d8d7 f7g6 a8f8 h6h5 f8g8 g6h6 d7g7	Bg6 Bd7 Bxf7+ Kxf7 Qxd7+ Kg6 Rxf8 h5 Rg8+ Kh6 Qg7#	Bg6
r4b1k/5Qp1/p3P2p/3p1N2/3p1B2/7P/q4PP1/5RK1 w - - 3 27	10	537339	e6e7 a2a3 f4e5 h8h7 h3h4 h6h5 f7h5 h7g8 h5g6 a8c8 e7e8q c8c7 f5h6 g8h8 h6f7 c7f7 g6h5 h8g8 e8f7	e7 Qa3 Be5 Kh7 h4 h5 Qxh5+ Kg8 Qg6 Rc8 e8=Q Rc7 Nh6+ Kh8 Nf7+ Rxf7 Qh5+ Kg8 Qexf7#	e7 Be5 h4 Qg6
1k6/8/2K5/6R1/1P6/8/8/5b2 w - - 1 72	6	832175	g5g8 b8a7 c6c7 f1c4 g8g5 c4e2 g5a5 e2a6 b4b5 a7a8 a5a6	Rg8+ Ka7 Kc7 Bc4 Rg5 Be2 Ra5+ Ba6 b5 Ka8 Rxa6#	Kc7 Rg5 b5
1q1k1r2/4p2p/p3p2b/6p1/3P4/4PB2/PPr5/R1B1K1R1 b - - 1 31	6	38652	f8f3 g1g2 c2g2 c1d2 b8h2 d2a5 d8e8 e1d1 g2c2 a5e1 h2e2	Rxf3 Rg2 Rxg2 Bd2 Qh2 Ba5+ Ke8 Kd1 Rc2 Be1 Qe2#	Qh2 Rc2
2r2k2/5P2/8/5K1R/6P1/2qp3P/8/8 b - - 3 59	7	73314	d3d2 f5g5 c3e5 g5h4 e5f6 h4g3 c8c3 g3g2 f6f3 g2h2 f3f2 h2h1 d2d1q	d2 Kg5 Qe5+ Kh4 Qf6+ Kg3 Rc3+ Kg2 Qf3+ Kh2 Qf2+ Kh1 d1=Q#	d2
2r3k1/1b1p1p2/3PpPp1/4P2p/P4B2/1P5P/4q1P1/6QK b - - 0 48	6	59945	c8c2 f4d2 c2d2 h1h2 e2f3 a4a5 d2g2 h2h1 g2g1 h1g1 f3g2	Rc2 Bd2 Rxd2 Kh2 Qf3 a5 Rxg2+ Kh1 Rxg1+ Kxg1 Qg2#	Rc2 Qf3
2r4r/kq3pb1/N3p1p1/QPp1Pn1p/2PPRP2/7P/5BP1/R5K1 w - - 1 31	6	70199	a6c5 a7b8 c5b7 c8c4 a5b6 b8c8 b7d6 f5d6 a1a8 c8d7 b6d6	Nxc5+ Kb8 Nxb7 Rxc4 Qb6 Kc8 Nd6+ Nxd6 Ra8+ Kd7 Qxd6#	Qb6
3r2k1/4r1b1/ppQ5/8/1P2pR2/2PP4/P4P2/2R1KN1q b - - 2 38	7	20415	e4d3 f4e4 e7e4 c6e4 h1e4 f1e3 e4f3 c1c2 d3c2 e1f1 c2c1q e3d1 d8d1	exd3+ Re4 Rxe4+ Qxe4 Qxe4+ Ne3 Qf3 Rc2 dxc2 Kf1 c1=Q+ Nd1 Rxd1#	Qf3
4Q3/p7/2p2p2/P3n2k/7P/2P3P1/5q2/7K b - - 4 42	6	20307	h5g4 e8e6 g4g3 e6g8 e5g4 g8g4 g3g4 h4h5 g4g3 c3c4 f2f1	Kg4 Qe6+ Kxg3 Qg8+ Ng4 Qxg4+ Kxg4 h5 Kg3 c4 Qf1#	Kg3
4r3/4kpQ1/3Rq3/3P3p/Pr6/1nN5/5P1P/6K1 w - - 0 37	8	11916	d6e6 e7d8 g7f6 d8c7 f6f7 e8e7 f7e7 c7b8 e7b4 b8c7 e6c6 c7d8 b4b7 b3a5 c6c8	Rxe6+ Kd8 Qf6+ Kc7 Qxf7+ Re7 Qxe7+ Kb8 Qxb4+ Kc7 Rc6+ Kd8 Qb7 Na5 Rc8#	Qb7
4rk2/1R6/6PP/2pR4/3n4/1p4K1/8/8 w - - 3 73	6	9217	h6h7 e8e3 g3g4 e3e4 g4h5 e4h4 h5h4 d4f3 h4g3 f3d2 h7h8q	h7 Re3+ Kg4 Re4+ Kh5 Rh4+ Kxh4 Nf3+ Kg3 Nd2 h8=Q#	h7
5R2/2p2R1p/7k/n7/8/1p1B4/3q2PP/7K w - - 6 42	6	12684	f7h7 h6g5 h2h4 g5g4 h7g7 d2g5 g7g5 g4h4 g5g7 b3b2 f8h8	Rxh7+ Kg5 h4+ Kg4 Rg7+ Qg5 Rxg5+ Kxh4 Rg7 b2 Rh8#	Rg7
5qr1/7k/4R2b/p3QppP/1nP5/1PB2NP1/6K1/8 w - - 1 36	6	27798	e6f6 f8e8 e5f5 g8g6 f6f7 e8f7 f5f7 g6g7 f3g5 h7h8 f7e8	Rf6 Qe8 Qxf5+ Rg6 Rf7+ Qxf7 Qxf7+ Rg7 Nxg5+ Kh8 Qe8#	Rf6
5r2/1R6/p2p4/P1pPk2p/B1P1p1pP/8/1P2r3/6K1 b - - 0 58	6	9256	e4e3 b7e7 e5d4 e7e4 d4e4 a4c2 e2c2 b2b4 e3e2 b4c5 e2e1q	e3 Re7+ Kd4 Re4+ Kxe4 Bc2+ Rxc2 b4 e2 bxc5 e1=Q#	e3 e2
5r2/7k/Q2p1qp1/2pPp3/2P1b1Bp/1r2P2P/7K/3NR3 b - - 3 47	7	28932	b3b2 e1e2 f6f1 a6a7 h7h8 a7h7 h8h7 g4f3 b2e2 d1f2 e2f2 f3g2 f1g2	Rb2+ Re2 Qf1 Qa7+ Kh8 Qh7+ Kxh7 Bf3 Rxe2+ Nf2 Rxf2+ Bg2 Qxg2#	Qf1
6k1/1R6/6p1/1p6/3n4/1PB4R/1P5K/3r4 w - - 1 43	8	451093	h2g2 d1d2 c3d2 d4e6 h3e3 e6g7 d2c3 g6g5 b7g7 g8f8 g7b7 g5g4 c3b4 f8g8 e3e8	Kg2 Rd2+ Bxd2 Ne6 Re3 Ng7 Bc3 g5 Rxg7+ Kf8 Rb7 g4 Bb4+ Kg8 Re8#	Kg2 Re3 Bc3 Rb7
6k1/p7/5b1p/8/1P2b3/P1Pp1NPK/1B3P1P/4r3 b - - 3 30	9	42220	e4f3 c3c4 f6b2 a3a4 d3d2 g3g4 d2d1q h3h4 b2f6 h4g3 e1g1 g3f4 f6g5 f4e5 g1e1 e5f5 d1d3	Bxf3 c4 Bxb2 a4 d2 g4 d1=Q Kh4 Bf6+ Kg3 Rg1+ Kf4 Bg5+ Ke5 Re1+ Kf5 Qd3#	d2
8/2N1Pkp1/1p1P3p/2p2p2/5p2/1P3P2/6PP/b4K2 w - - 3 41	6	13161	e7e8q f7f6 h2h4 g7g5 d6d7 f6g7 d7d8q h6h5 d8g5 g7h7 e8h5	e8=Q+ Kf6 h4 g5 d7 Kg7 d8=Q h5 Qxg5+ Kh7 Qexh5#	h4 d7
8/5k2/p6p/1p2r1P1/1P6/P1P1Bp1b/5P1P/6K1 b - - 0 36	7	14499	h6g5 c3c4 b5c4 e3d2 e5e2 d2c3 g5g4 b4b5 e2c2 b5a6 c2c1 c3e1 c1e1	hxg5 c4 bxc4 Bd2 Re2 Bc3 g4 b5 Rc2 bxa6 Rc1+ Be1 Rxe1#	Re2 g4 Rc2
8/pQ3b2/2p2k2/2N1b3/2n5/P5P1/3q2BK/8 b - - 6 44	6	29398	f7d5 b7g7 f6g7 c5e6 g7g6 e6f4 e5f4 h2h3 d2g2 h3h4 g2g3	Bd5 Qg7+ Kxg7 Ne6+ Kg6 Nf4+ Bxf4 Kh3 Qxg2+ Kh4 Qxg3#	Bd5
k6r/p4ppp/Bpp4q/3Q4/P7/B1P2P2/7P/5R1K w - - 0 26	7	78610	d5f7 h8b8 f7d7 h6f6 a3d6 f6d6 d7d6 b8c8 a6c8 c6c5 d6c6 a8b8 c6b7	Qxf7 Rb8 Qd7 Qf6 Bd6 Qxd6 Qxd6 Rc8 Bxc8 c5 Qc6+ Kb8 Qb7#	Qd7 Bd6
r5rk/1pp4p/5b1q/3P1pN1/8/PQ2P2b/1PBN4/R5K1 b - - 0 31	6	71151	h6g5 g1f2 g5g2 f2e1 h3g4 d2f3 g4f3 b3c4 f6h4 c4h4 g2e2	Qxg5+ Kf2 Qg2+ Ke1 Bg4 Nf3 Bxf3 Qc4 Bh4+ Qxh4 Qe2#	Bg4
1r6/7K/4k3/8/8/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1	2	736	e6f6 h7h6 b8h8	Kf6 Kh6 Rh8#	Kf6
2brbr1k/1p1p1p2/1P1P1P2/8/5K2/8/8/Q7 w - - 0 1	2	1279	a1g1 h8h7 g1g7	Qg1 Kh7 Qg7#	Qg1
2k1brbr/3p1p1p/3P1P1P/8/8/8/5QK1/8 w - - 0 1	2	814	f2a7 c8d8 a7c7	Qa7 Kd8 Qc7#	Qa7
2k5/8/8/8/3q4/2p1p1p1/2P1P1P1/2RBRBK1 b - - 0 1	2	860	d4h4 c1a1 h4h2	Qh4 Ra1 Qh2#	Qh4
2rbrbk1/2p1p1p1/2P1P1P1/8/2Q5/8/8/2K5 w - - 0 1	2	779	c4h4 c8a8 h4h7	Qh4 Ra8 Qh7#	Qh4
3k4/8/K7/5q2/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	2	842	d8c7 a6a7 f5a5	Kc7 Ka7 Qa5#	Kc7
4K3/8/8/4k3/5q2/p1p1p3/P1P1P3/RBRB4 b - - 0 1	2	2275	e5d6 e8d8 f4f8	Kd6 Kd8 Qf8#	Kd6
4brbr/3p1p1p/3P1P1P/8/8/8/2Q1K3/6k1 w - - 0 1	2	994	e2f3 g1f1 c2f2	Kf3 Kf1 Qf2#	Kf3
4brbr/p2p1p1p/P2P1P1P/2R5/8/8/4K3/7k w - - 0 1	2	809	e2f2 h1h2 c5h5	Kf2 Kh2 Rh5#	Kf2
4brbr/p2p1p1p/P2P1P1P/6R1/8/K7/8/1k6 w - - 0 1	2	2045	g5c5 b1a1 c5c1	Rc5 Ka1 Rc1#	Rc5
4k3/8/3q4/8/8/1p1p1p2/1P1P1P2/2BRBR1K b - - 0 1	2	968	d6g6 f1g1 g6h6	Qg6 Rg1 Qh6#	Qg6
7q/8/5k2/8/8/3p1p1p/3P1P1P/3KBRBR b - - 0 1	2	839	h8a8 d1c1 a8a1	Qa8 Kc1 Qa1#	Qa8
8/3k4/8/7q/8/1p1p1p2/1P1P1P2/1KBRBR2 b - - 0 1	2	843	h5a5 f1g1 a5a2	Qa5 Rg1 Qa2#	Qa5
8/4k3/1r6/8/8/p1p1p2p/P1P1P2P/RBRB2K1 b - - 0 1	2	884	b6f6 g1h1 f6f1	Rf6 Kh1 Rf1#	Rf6
8/7r/1k6/8/8/p2p1p1p/P2P1P1P/1K2BRBR b - - 0 1	2	680	h7c7 b1a1 c7c1	Rc7 Ka1 Rc1#	Rc7
8/8/2n5/8/8/p1np1p1p/P2P1P1P/K1k1BRBR b - - 0 1	2	558	c6b4 d2c3 b4c2	Nb4 dxc3 Nc2#	Nb4
8/8/3n4/8/8/pn1p1p1p/P2P1P1P/1k1KBRBR b - - 0 1	2	464	d6c4 a2b3 c4b2	Nc4 axb3 Nb2#	Nc4
8/8/8/3r4/6k1/p2p1p1p/P2P1P1P/1K2BRBR b - - 0 1	2	617	d5c5 b1a1 c5c1	Rc5 Ka1 Rc1#	Rc5
8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1	2	1386	e5d4 f1e1 g4g1	Kd4 Ke1 Qg1#	Kd4
8/8/8/7q/8/2p1p1p1/2P1PkP1/K1RBRB2 b - - 0 1	2	1841	h5b5 a1a2 b5b2	Qb5 Ka2 Qb2#	Qb5
rbrb1K2/p1p1p3/P1P1P2k/Q7/8/8/8/8 w - - 0 1	2	921	f8f7 h6h7 a5h5	Kf7 Kh7 Qh5#	Kf7
rbrb1k2/p1p1p1Rp/P1P1P2P/8/8/2K5/8/8 w - - 0 1	2	954	g7g5 f8e8 g5g8	Rg5 Ke8 Rg8#	Rg5
rbrb4/p1p1p2p/P1P1P2P/2K5/8/k7/2R5/8 w - - 0 1	2	555	c5c4 a3a4 c2a2	Kc4 Ka4 Ra2#	Kc4
rbrb4/p1p1p3/P1P1P3/k7/2K5/7Q/8/8 w - - 0 1	2	1451	h3b3 a5a6 b3b5	Qb3 Kxa6 Qb5#	Qb3
1krbrb1Q/2p1p1p1/2P1P1P1/2K5/8/8/8/8 w - - 0 1	3	2477	h8h4 b8a8 h4b4 a8a7 b4b7	Qh4 Ka8 Qb4 Ka7 Qb7#	Qh4 Qb4
1krbrb1Q/2p1p1p1/K1P1P1P1/8/8/8/8/8 w - - 0 1	3	1396	h8h5 b8a8 h5c5 c8b8 c5a7	Qh5 Ka8 Qc5 Rb8 Qa7#	Qh5 Qc5
3kbrbr/p2p1p1p/P2P1P1P/8/8/8/8/2KR4 w - - 0 1	3	1144	d1d3 d8c8 d3b3 c8d8 b3b8	Rd3 Kc8 Rb3 Kd8 Rb8#	Rd3 Rb3
4K3/1q5k/8/8/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	3	3498	h7g7 e8d8 g7f6 d8e8 b7e7	Kg7 Kd8 Kf6 Ke8 Qe7#	Kg7 Kf6
4brbr/3p1p1p/3P1P1P/8/1K6/2Q5/8/1k6 w - - 0 1	3	8488	c3d2 b1a1 b4c3 a1b1 d2b2	Qd2 Ka1 Kc3 Kb1 Qb2#	Qd2 Kc3
