# S230 candidates for the capture mate row that separates R01.
# Regenerate: adocs/data/S230_mine_r01_row.py pool / label / line / join.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	captures_on_line	depths_found
4rk2/7Q/1pq5/2pR1p2/2P5/3B4/r1P3K1/3R4 w - - 4 48	4	8526	h7f5 f8g7 f5h7 g7f6 d1f1 f6e6 h7e4	Qxf5+ Kg7 Qh7+ Kf6 Rf1+ Ke6 Qe4#	Qxf5+	d7 d8 d9 d10 d11 d12
5rk1/8/6qp/8/8/PP3PPb/5K1P/3R4 b - - 1 39	7	19432	g6c2 f2e3 f8e8 e3d4 c2d1 d4c5 e8c8 c5b6 d1d6 b6b5 h3d7 b5a5 c8a8	Qc2+ Ke3 Re8+ Kd4 Qxd1+ Kc5 Rc8+ Kb6 Qd6+ Kb5 Bd7+ Ka5 Ra8#	Qxd1+	d9 d10 d11 d12
6k1/5p1p/2R5/p7/5p2/P5qP/1PP3P1/4r1QK b - - 6 33	4	11258	f4f3 c6c8 g8g7 c8g8 g7g8 g2f3 e1g1	f3 Rc8+ Kg7 Rg8+ Kxg8 gxf3 Rxg1#	Rxg1#	d11 d12
6k1/7p/p6Q/4p3/1Pp3r1/5P2/1qB4K/5RR1 w - - 3 35	4	8015	g1g4 g8f7 h6h7 f7e6 g4g6 e6d5 h7d7	Rxg4+ Kf7 Qxh7+ Ke6 Rg6+ Kd5 Qd7#	Qxh7+	d7 d8 d9 d10 d11 d12
6k1/p2R1p2/6p1/1p1Q4/8/n3P1P1/5qKP/8 w - - 0 37	4	4221	g2f2 g8g7 d5f7 g7h6 d7d6 b5b4 f7g6	Kxf2 Kg7 Qxf7+ Kh6 Rd6 b4 Qxg6#	Qxf7+ Qxg6#	d6 d8 d9 d10 d11 d12
8/4Ppk1/1pQ5/2pp4/p2P1K2/r1P2P1P/8/8 w - - 1 50	4	13105	f4g5 f7f6 c6f6 g7g8 e7e8q g8h7 f6h6	Kg5 f6+ Qxf6+ Kg8 e8=Q+ Kh7 Qh6#	Qxf6+	d9 d10 d11 d12
8/5Qp1/kpp1p1p1/p5P1/P2PR3/7r/1PPbK3/R6q b - - 5 35	4	8319	h1e4 e2f1 h3h1 f1f2 h1h2 f2g1 e4g2	Qxe4+ Kf1 Rh1+ Kf2 Rh2+ Kg1 Qg2#	Qxe4+	d5 d6 d7 d8 d9 d10 d11 d12
8/8/2R1Q3/5p2/2pp4/3k3P/5KP1/rq6 w - - 1 48	4	5774	e6e2 d3c3 e2c4 c3b2 c6b6 b2a3 c4a6	Qe2+ Kc3 Qxc4+ Kb2 Rb6+ Ka3 Qa6#	Qxc4+	d7 d8 d9 d10 d11 d12
8/p3Q2p/p3pn1k/4N3/8/1P5P/q5PK/8 w - - 2 35	4	5244	e7f6 h6h5 e5f3 a2d2 f3d2 h7h6 g2g4	Qxf6+ Kh5 Nf3 Qd2 Nxd2 h6 g4#	Qxf6+	d9 d10 d11 d12
R1q2Q2/1p4pk/1p2p1p1/1n1pP2p/3P3P/2P1B1P1/5PK1/4r3 w - - 6 38	5	5625	f8c8 e1g1 g2g1 g6g5 c8e8 h7h6 h4g5 h6h7 e8h5	Qxc8 Rg1+ Kxg1 g5 Qe8 Kh6 hxg5+ Kh7 Qxh5#	hxg5+ Qxh5#	d6 d7 d8 d9 d10 d11 d12
